,reviewerid,authorcomments,total_sum,title,keywords,abstract,accept
1,8178,"The subject paper presents a reduced switch seven-level inverter using level shifted PWM topologies.  Please find my comments

There are a lot of instances of badly worded/constructed sentences. The language of the paper should be completely revised starting from the title and ending by the conclusion.
IEEE Conference template is not strictly followed. Why double quotation in the citation? Remove it. Follow IEEE citation style. Use Mendeley desktop (a bibliography management tool https://www.mendeley.com/download-desktop/) to organize the reference and citation list.
Organize the figures and tables.  A little amount of text in between figures look unprofessional. It is better to place the table at beginning or end of a page. similar to the case of figures. In the text. The Figure should be Fig in the Fig. cross refference. Further, intended and spacing found inappropriate.
The contribution of this paper should be mentioned at the end of the literature review in the Introduction section.
Section V is too short. Consider to remove it and those simulation data and inputs of the considered model should be summarized in a Table. 
The validation of your model or numerical results against real data or at least with previous works is missing.

Overall, the paper has useful information, but it definitely needs the validation of the results either by using experimental results or by comparable, published data from the literature.",19.0,Performance Evaluation of Reduced Switch Seven Level Inverter Based on Level Shifted Sinusoidal and Trapezoidal PWM Topologies,Multilevel inverter; Total Harmonic Distortion (THD); Level shifted modulation; Sinusoidal Pulse Width Modulation (SPWM); Trapezoidal Pulse Width Modulation (TRPWM).,"With the development of inverter topologies, multilevel inverters have gained more outlook because of their advantageous features such as low switching loss, high dv/dt stress, high efficiency, low common mode voltage and more suitable for medium voltage and large power applications. This paper presents a newly reduced switch seven-level inverter using level shifted pulse width modulation topologies. The proposed topology requires only six switches and two voltage sources to produce seven level voltage waveforms. The main advantages of this inverter are less number of power switches and DC voltage sources, reduced cost and size, lower blocking voltage on switches. These abilities are obtained by comparing the proposed topology with the existing topologies. Level-shifted modulation technique is used to generate switching pulse. Here the performance of proposed inverter has been evaluated through Sinusoidal Pulse Width Modulation (SPWM) and Trapezoidal Pulse Width Modulation (TRPWM) topologies and compared them for proposed topology. The proposed inverter has been simulated by using MATLAB software.",0
3,9261,"May be accepted, but need to improve. What are the effects of reduced number  of switches? Must follow IEEE format, say, paragrapgh spacing and indent are not matched with the IEEE format. Check grammatical errors. ",18.0,Performance Evaluation of Reduced Switch Seven Level Inverter Based on Level Shifted Sinusoidal and Trapezoidal PWM Topologies,Multilevel inverter; Total Harmonic Distortion (THD); Level shifted modulation; Sinusoidal Pulse Width Modulation (SPWM); Trapezoidal Pulse Width Modulation (TRPWM).,"With the development of inverter topologies, multilevel inverters have gained more outlook because of their advantageous features such as low switching loss, high dv/dt stress, high efficiency, low common mode voltage and more suitable for medium voltage and large power applications. This paper presents a newly reduced switch seven-level inverter using level shifted pulse width modulation topologies. The proposed topology requires only six switches and two voltage sources to produce seven level voltage waveforms. The main advantages of this inverter are less number of power switches and DC voltage sources, reduced cost and size, lower blocking voltage on switches. These abilities are obtained by comparing the proposed topology with the existing topologies. Level-shifted modulation technique is used to generate switching pulse. Here the performance of proposed inverter has been evaluated through Sinusoidal Pulse Width Modulation (SPWM) and Trapezoidal Pulse Width Modulation (TRPWM) topologies and compared them for proposed topology. The proposed inverter has been simulated by using MATLAB software.",0
7,9027,"Please edit the following errors:# Spelling Error Possible spelling mistake found  Bala.A→Bala. A, Zigbee→ZigBee, Arpitha.T→Arpitha. T, slower→slow, infront→in front# Punctuation Error1. The serial comma makes writing easier to understand. Consider adding it here: ""Explosion, and""Explosion and→Explosion, and2. The serial comma makes writing easier to understand. Consider adding it here: ""explosion, and""explosion and→explosion, and3. When ""Sometimes"" is the first word of a sentence, it usually marks the beginning of a dependent clause. This clause MUST be followed by a comma and then an independent clause (complete sentence).# Style and Word Choice1. Also' is not used at the end of the sentence. Use ""as well"" instead.also→as well2. Consider using ""and"" or ""also"".And also→And3.  The phrase ""is able to detect"" could be shorter and clearer. Consider replacing it with """"can detect"""" or simply """"detects"".""is able to detect→can detect4. Phrases using ""very"" can often be replaced with a clearer, more effective word. Example: very scared = terrified Can you think of a better word for ""very fast""?5. Phrases using ""very"" can often be replaced with a clearer, more effective word. Example: very scared = terrified Can you think of a better word for ""very low-cost""?6. 'Also' is not used at the end of the sentence. Use ""as well"" instead.also→as well7. Three successive sentences begin with the same word. Consider rewording the sentence or use a thesaurus to find a synonym.8. Reduce redundancy by using ""little"" or ""bit"".little bit→little9. The phrase ""every single"" is often redundant and unnecessary. Consider only using ""every"".every single→every# Grammar Error1. you repeated a wordChittagong Chittagong→Chittagong2. An article (a, an, the) or possessive pronoun (his, her, their, etc.) may be missing: ""an explosion"", ""the explosion"" OR ""his, her, their, etc. explosion.""explosion→an explosion3. Possible agreement error. The noun reason seems to be countable; consider using: ""many reasons"".many reason→many reasons4. Add a space between sentencesA→âµA  and T→âµT5. The adverb 'sometimes' is usually put before the verb 'explodes'.explodes sometimes→sometimes explodes6. Use ""an"" instead of 'a' if the following word starts with a vowel sound, e.g. 'an article', 'an hour'a→an7. Use ""a"" instead of 'an' if the following word doesn't start with a vowel sound, e.g. 'a sentence', 'a university'an→a",23.0,"GSM Based Low-cost Gas Leakage, Explosion and Fire Alert System with Advanced Security","Arduino UNO, MQ-9, Low-cost, Explosion, Security, GSM.","Gas leakage and gas cylinder explosion is a regular problem in todayâs world, especially in developing countries. If the gas leakage canât be detected fast and no action is taken, may lead to explosion and cause severe damages to life and environment. The previous leakage detection systems only use alarms for warning. There is nothing about the protection. In this paper, a system is proposed that can detect not only gas leakage, it can detect explosion and fire also. And also can take some protective steps. It is equipped with gas sensor to detect the leaked gas and flame sensor to detect the explosion and fire. It has exhaust fan system to clear the leaked gas and solenoid valve to inlet the water or carbon dioxide gas (CO2) if explosion and fire occurs. The explosion security system response individually when there is only a fire with no relation to gas leakage. If any incident occurs, that information is sent to owner through wireless media, a display shows the alert message and buzzer makes the alarm. It is equipped with Global System for Mobile communications (GSM) modem as wireless media to send information to owner through Short Message Service (SMS). This ensures preventive actions immediately even in the absence of people on-site. A prototype of this system has been developed and tested with Liquefied Petroleum Gas (LPG) and Fire. The experimental results show that the system is able to detect the gas leakage, explosion and fire. It is also able to take protective steps very fast. This life saving system is very low-cost and useful. It can protect people from burning alive.",1
8,9464,"
There is no previous work section.
Introduction doesn't contain an overview of the paper.
Needs more Citations and references
Too many figures but not enough explaination.
Fig. 2 is not an algorithm as stated in the text, it shows the work flow.
",20.0,"GSM Based Low-cost Gas Leakage, Explosion and Fire Alert System with Advanced Security","Arduino UNO, MQ-9, Low-cost, Explosion, Security, GSM.","Gas leakage and gas cylinder explosion is a regular problem in todayâs world, especially in developing countries. If the gas leakage canât be detected fast and no action is taken, may lead to explosion and cause severe damages to life and environment. The previous leakage detection systems only use alarms for warning. There is nothing about the protection. In this paper, a system is proposed that can detect not only gas leakage, it can detect explosion and fire also. And also can take some protective steps. It is equipped with gas sensor to detect the leaked gas and flame sensor to detect the explosion and fire. It has exhaust fan system to clear the leaked gas and solenoid valve to inlet the water or carbon dioxide gas (CO2) if explosion and fire occurs. The explosion security system response individually when there is only a fire with no relation to gas leakage. If any incident occurs, that information is sent to owner through wireless media, a display shows the alert message and buzzer makes the alarm. It is equipped with Global System for Mobile communications (GSM) modem as wireless media to send information to owner through Short Message Service (SMS). This ensures preventive actions immediately even in the absence of people on-site. A prototype of this system has been developed and tested with Liquefied Petroleum Gas (LPG) and Fire. The experimental results show that the system is able to detect the gas leakage, explosion and fire. It is also able to take protective steps very fast. This life saving system is very low-cost and useful. It can protect people from burning alive.",1
9,8967,"The paper present multi-view 3D object is retrieved from a set of 2D images using both auto-encoder and deep embedding network. The proposed method is interesting.
 
There are some deep embedding networks methods exist for 3D object retrieval. Thus, the author should compare their method with some state-of-the-art.",23.0,Multi-View 3D Object Retrieval using Autoencoder & Deep Embedding Network,"Convolutional Neural Network, Deep Embedding Network, Autoencoder, Triplet Loss, Multiâview 2D images, Image Retrieval, Seen and Unseen categories.","Due to the rapid development of 3D object, there 
are many application that need to be retrieved 3D object which is 
very useful in computer vision based problems. A set of different 
views of 2D images are referred as multi- view 3D object. Rather 
than using hand-crafted features extraction techniques, deep 
embedding network and autoencoder are used to extract features 
and measured the similarity by using Euclidean distance for 
retrieving images. This paper focus on the process of retrieving 
3D object from multi-view 2D images. Both supervised and 
unsupervised models are trained on a set of datasets comprising 
a specific set of classes which is called seen classes or categories 
and the retrieval operation is performed on set of other classes 
which are not present in trained dataset is the unseen category 
set along with seen categories. Deep embedding network is jointly 
supervised by classification loss and triplet loss to optimize 
the intra-class variation for image retrieval. Finally, to compare 
image retrieval performance accuracy, different evaluation 
metrics are used and compare computation time and space 
complexity for both autoencoder and deep embedding network. 
Here, linear dimensionality reduction algorithm PCA and nonlinear 
dimensionality reduction algorithm t-SNE are also used to 
analyze the retrieval factor of these networks. The experimented 
results show that deep embedding network gained 97% accuracy 
and autoencoder gained 96% accuracy to retrieve multi-view 2D 
images using RGB-D dataset on seen categories. For the unseen 
categories retrieval accuracy of deep embedding network and 
autoencoder it is 92% and 95% accordingly.",1
10,8975,The organization of the work is very good. The contribution of this paper is clearly visible.,25.0,Multi-View 3D Object Retrieval using Autoencoder & Deep Embedding Network,"Convolutional Neural Network, Deep Embedding Network, Autoencoder, Triplet Loss, Multiâview 2D images, Image Retrieval, Seen and Unseen categories.","Due to the rapid development of 3D object, there 
are many application that need to be retrieved 3D object which is 
very useful in computer vision based problems. A set of different 
views of 2D images are referred as multi- view 3D object. Rather 
than using hand-crafted features extraction techniques, deep 
embedding network and autoencoder are used to extract features 
and measured the similarity by using Euclidean distance for 
retrieving images. This paper focus on the process of retrieving 
3D object from multi-view 2D images. Both supervised and 
unsupervised models are trained on a set of datasets comprising 
a specific set of classes which is called seen classes or categories 
and the retrieval operation is performed on set of other classes 
which are not present in trained dataset is the unseen category 
set along with seen categories. Deep embedding network is jointly 
supervised by classification loss and triplet loss to optimize 
the intra-class variation for image retrieval. Finally, to compare 
image retrieval performance accuracy, different evaluation 
metrics are used and compare computation time and space 
complexity for both autoencoder and deep embedding network. 
Here, linear dimensionality reduction algorithm PCA and nonlinear 
dimensionality reduction algorithm t-SNE are also used to 
analyze the retrieval factor of these networks. The experimented 
results show that deep embedding network gained 97% accuracy 
and autoencoder gained 96% accuracy to retrieve multi-view 2D 
images using RGB-D dataset on seen categories. For the unseen 
categories retrieval accuracy of deep embedding network and 
autoencoder it is 92% and 95% accordingly.",1
12,8796,"
explanation of the proposed method is not well structred.
Why is Symlet wavelet  selected for this application?
Author must include the details about data processing method.
The results should be compared with existing methods.
",21.0,Protein Similarity Analysis by Wavelet Decomposition of Cellular Automata Images,"similarity analysis, cellular automata, wavelet decomposition, normalized Laplacian pyramid","In this article, a novel method of protein similarity 
analysis is proposed where amino acid sequences of proteins are 
employed to generate cellular automata images. The pairwise 
similarities of these images are measured from their horizontal 
detail images derived from wavelet decomposition by symlet 
wavelets. The distance metric to measure the similarity is 
chosen as the normalized Laplacian pyramid. From the pairwise 
similarity measures, a phylogenetic tree is generated and the 
tree is compared with two recent methods of similarity analysis. 
The proposed method has been proved effective to render a 
computationally faster and alignment-free method of protein 
similarity analysis.",1
13,8960,This is very interesting paper. The analytical approach is well known but effective. Authors claimed to less computational complexity of their proposed method than MEGA but no evidence is shown. Moreover the phylogenetic mapping of MEGA and their method has a little different especially for the Rhino and Platypus. It should clarify in details.  Moreover why 73 rules is effective should give in details.,17.0,Protein Similarity Analysis by Wavelet Decomposition of Cellular Automata Images,"similarity analysis, cellular automata, wavelet decomposition, normalized Laplacian pyramid","In this article, a novel method of protein similarity 
analysis is proposed where amino acid sequences of proteins are 
employed to generate cellular automata images. The pairwise 
similarities of these images are measured from their horizontal 
detail images derived from wavelet decomposition by symlet 
wavelets. The distance metric to measure the similarity is 
chosen as the normalized Laplacian pyramid. From the pairwise 
similarity measures, a phylogenetic tree is generated and the 
tree is compared with two recent methods of similarity analysis. 
The proposed method has been proved effective to render a 
computationally faster and alignment-free method of protein 
similarity analysis.",1
14,8146,"Many thanks to the authors for addressing a real life problem. However, this paper has the following limitations

The abstract is poor and simple. It does not reflect the technical perspective of the work done.
The novelty of the paper is vey poor. The author performs very basic operations including mean filtering and created a binary image using otsu’s threshold. This followed by segmentation and classsification using neural network classifier. Therefore the works suffer from the novelty seriously.
Poor presentation as well. Table caption should at the top of the table

Therefore I am incline to reject the paper",10.0,Inspection of Paddy leaf disease using Image Processing System,"Image Processing, Image Classification","Paddy is one of the staple crop productions of the Indian Subcontinent and the livelihood of countless farmers are dependent on it. However its high yields are susceptible to the harshness of nature through leaf damage, diseases etc. Thus detecting these blights in early stages will serve a useful purpose. In this paper, a methodology of processing the leaf images to detect diseases and classify them is proposed. Firstly the image is taken,converted to greyscale and the area of interest is segmented. Then, a neural network uses pattern recognition to identify the disease type, thus providing much improved results over the traditional manual method.",0
15,8967,"The paper presents a methodology of processing the leaf images to detect diseases and then classify them into different classes. The feature extraction uses very simple technique. Only color feature is used as a feature which very much depended on illumination. I did not find any kind of normalization of color features.
 
The organization of the paper is not well. In abstract section the author(s) stated that the ANN is used in this paper. However, in the paper they describe the SVM only. All of the references are backdated. The author should review recent research for both feature extraction and classification.",19.0,Inspection of Paddy leaf disease using Image Processing System,"Image Processing, Image Classification","Paddy is one of the staple crop productions of the Indian Subcontinent and the livelihood of countless farmers are dependent on it. However its high yields are susceptible to the harshness of nature through leaf damage, diseases etc. Thus detecting these blights in early stages will serve a useful purpose. In this paper, a methodology of processing the leaf images to detect diseases and classify them is proposed. Firstly the image is taken,converted to greyscale and the area of interest is segmented. Then, a neural network uses pattern recognition to identify the disease type, thus providing much improved results over the traditional manual method.",0
